id,name,관련학과,관련자격
10116,신소재 개발 연구원,재료공학과신소재공학과화학공학과금속공학과세라믹공학과고분자공학과물리학과,
10117,인공지능 엔지니어,컴퓨터공학과전자공학과응용소프트웨어공학과수학과통계학과,
10118,데이터 라벨러,,데이터분석
10112,스마트공장 기술자,전기전자공학과기계공학과메카트로닉스공학과정보통신공학과컴퓨터공학과응용소프트웨어공학과,"정보처리기사,자동화설비산업기사"
10111,핀테크 전문가,경영학과경영정보학과회계학과IT융합학과응용소프트웨어공학과컴퓨터공학과,"정보처리기사,정보관리기술사,컴퓨터시스템응용기술사,사무자동화산업기사"
10110,양자 컴퓨팅 기술자,전자공학과컴퓨터공학과물리학과수학과,
10113,지능형 로봇개발자,기계공학과전자공학과제어계측공학과메카트로닉스공학과,"로봇기구개발기사,로봇소프트웨어개발기사,로봇하드웨어개발기사"
10114,우주전파예보관,우주과학과전자공학과천문학과,
10115,디지털 헬스케어 기기 개발자,전기전자공학과컴퓨터공학과정보통신공학과응용소프트웨어공학과,
10116,신소재 개발 연구원,재료공학과신소재공학과화학공학과금속공학과세라믹공학과고분자공학과물리학과,
10117,인공지능 엔지니어,컴퓨터공학과전자공학과응용소프트웨어공학과수학과통계학과,
10118,데이터 라벨러,,데이터분석
10112,스마트공장 기술자,전기전자공학과기계공학과메카트로닉스공학과정보통신공학과컴퓨터공학과응용소프트웨어공학과,"정보처리기사,자동화설비산업기사"
10111,핀테크 전문가,경영학과경영정보학과회계학과IT융합학과응용소프트웨어공학과컴퓨터공학과,"정보처리기사,정보관리기술사,컴퓨터시스템응용기술사,사무자동화산업기사"
10110,양자 컴퓨팅 기술자,전자공학과컴퓨터공학과물리학과수학과,
10113,지능형 로봇개발자,기계공학과전자공학과제어계측공학과메카트로닉스공학과,"로봇기구개발기사,로봇소프트웨어개발기사,로봇하드웨어개발기사"
10114,우주전파예보관,우주과학과전자공학과천문학과,
10115,디지털 헬스케어 기기 개발자,전기전자공학과컴퓨터공학과정보통신공학과응용소프트웨어공학과,
10116,신소재 개발 연구원,재료공학과신소재공학과화학공학과금속공학과세라믹공학과고분자공학과물리학과,
10117,인공지능 엔지니어,컴퓨터공학과전자공학과응용소프트웨어공학과수학과통계학과,
10118,데이터 라벨러,,데이터분석
10112,스마트공장 기술자,전기전자공학과기계공학과메카트로닉스공학과정보통신공학과컴퓨터공학과응용소프트웨어공학과,"정보처리기사,자동화설비산업기사"
10111,핀테크 전문가,경영학과경영정보학과회계학과IT융합학과응용소프트웨어공학과컴퓨터공학과,"정보처리기사,정보관리기술사,컴퓨터시스템응용기술사,사무자동화산업기사"
10110,양자 컴퓨팅 기술자,전자공학과컴퓨터공학과물리학과수학과,
10113,지능형 로봇개발자,기계공학과전자공학과제어계측공학과메카트로닉스공학과,"로봇기구개발기사,로봇소프트웨어개발기사,로봇하드웨어개발기사"
10114,우주전파예보관,우주과학과전자공학과천문학과,
10115,디지털 헬스케어 기기 개발자,전기전자공학과컴퓨터공학과정보통신공학과응용소프트웨어공학과,
10116,신소재 개발 연구원,재료공학과신소재공학과화학공학과금속공학과세라믹공학과고분자공학과물리학과,
10117,인공지능 엔지니어,컴퓨터공학과전자공학과응용소프트웨어공학과수학과통계학과,
10118,데이터 라벨러,,데이터분석
10112,스마트공장 기술자,전기전자공학과기계공학과메카트로닉스공학과정보통신공학과컴퓨터공학과응용소프트웨어공학과,"정보처리기사,자동화설비산업기사"
10111,핀테크 전문가,경영학과경영정보학과회계학과IT융합학과응용소프트웨어공학과컴퓨터공학과,"정보처리기사,정보관리기술사,컴퓨터시스템응용기술사,사무자동화산업기사"
10110,양자 컴퓨팅 기술자,전자공학과컴퓨터공학과물리학과수학과,
10109,나노공학 기술자,재료공학과신소재공학과금속공학과물리학과기계공학과나노공학과,"금속재료기사,금속재료산업기사,화공기사"
10108,배터리 기술자,기계공학과화학공학과전자공학과전기공학과재료공학과신소재공학과물리학과화학과,"금속재료기사,전자기사,전기기사,화공기사"
10107,디스플레이 개발자,전자공학과컴퓨터공학과전기공학과,"전자기사,전기기사,전파전자통신기사"
10102,감성인식기술전문가,생명공학과전자공학과컴퓨터과학과,
10103,개인형 이동수단 개발자,기계공학과자동차공학과전기공학과전자공학과,"기계조립산업기사,기계설계기사"
10104,유전자 재조합 식품 전문가,생명공학과생명과학과식품공학과,"식품기술사,농산물품질관리사"
10105,태양광발전연구 및 개발자,기계공학과재료공학과전기공학과전자공학과화학과,"신재생에너지발전설비기사(태양광),신재생에너지발전설비산업기사(태양광)"
10106,스마트팜 운영자,농수산과생명공학과,"종자기사,유기농업기사,농화학기술사,토양환경기사,농업기계기사,기계설계기사,농기계정비기능사"
10101,메타버스 크리에이터,디지털디자인과디지털콘텐츠학과게임공학과게임콘텐츠과,"멀티미디어콘텐츠제작전문가,게임그래픽전문가,컴퓨터그래픽스운용기능사"
262,기자,경제학과국어국문학과사회학과신문방송학과언론홍보학과정치외교학과행정학과,
1151,종이제품생산직(기계조작),,
132,철도 및 지하철기관사,기계공학과기계과전기공학과전기과전기전자공학과전기전자과제어계측공학과제어계측과철도교통과철도운전과철도전기제어과,철도차량운전면허
951,행사기획자,경영학과광고기획과문예창작과문예창작학과산업디자인과산업디자인학과신문방송학과연극영화과연극영화학과이벤트연출과컨벤션산업과,컨벤션기획사2급
1,가스ㆍ수도ㆍ전기 계기 검침원 및 안전점검원,,
380,상담전문가,가족복지과사회복지과사회복지상담과사회복지학과교육학과아동학과아동복지학과심리학과청소년지도학과아동복지과노인복지학과,"전문상담교사,청소년상담사 ,임상심리사"
10059,평등관리사무원,법학과심리학과사회학과,
264,통역가,영어영문학과독어독문학과러시아어문학과불어불문학과스페인어학과아프리카어과유럽ㆍ기타어과일본어과일어일문학과중국어과중어중문학과,
1152,가구조립 및 검사원,,"가구제작기능사,목공예기능사"
133,철도차량정비원,철도교통과철도운전과철도전기제어과,"철도차량산업기사,철도차량정비기능사"
952,화학공학기술자,고분자공학과공업화학과정밀화학과화학공업과화학공학과화학과,"화공기사,화공기술사,화공안전기술사,화약류관리기사,화약류관리기술사,화약류관리산업기사,화약류제조기사,화약류제조산업기사,화학분석기능사"
5,일기예보관,대기과학과천문학과,"기상예보기술사,기상기사,기상감정기사"
383,우편물집배원,,자동차운전면허
10060,애견테라피스트,반려동물과,
265,리포터,국어국문학과신문방송학과언론홍보학과,KBS한국어능력시험
1153,포장원,,
137,토목공학기술자,건축학과토목공학과토목과,"토목산업기사,토목구조기술사,토목시공기술사,토질및기초기술사,토목품질시험기술사,도로및공항기술사,철도기술사,수자원개발기술사,측량및지형공간정보기술사,농어업토목기술사"
954,화훼재배기술자,원예과원예학과,"시설원예기사,시설원예기술사,화훼장식기능사,화훼장식기사"
6,기상연구원,대기과학과천문학과,"기상기사,기상예보기술사,기상감정기사"
384,성직자,종교교육과신학과불교학과기독교학과,
10061,유전상담사,생물학과심리학과생명과학과유전공학과,
266,드라마작가,국어국문학과문예창작과문예창작학과,
1154,채소 및 특용작물재배자,농수산과식물자원학과,"농기계운전기능사,농기계정비기능사,농업기계기사,농업기계산업기사"
138,통신공학 기술자 및 연구원,전기공학과전기전자공학과전기제어공학과전자공학과정보통신공학과정보통신과,"정보통신산업기사,정보통신기사,통신설비기능장,정보통신기술사,전파전자통신산업기사,전파전자통신기사,방송통신산업기사,방송통신기사"
957,평론가,국어국문학과문예창작학과미디어영상학과미술학과실용음악과연극영화과연극영화학과음악학과,
8,물리학연구원,물리학과지구환경과학과,
385,소방관,응급구조과소방안전관리과,자동차운전면허
10062,학습장애간호사,언어재활과간호학과간호과특수교육학과언어치료학과유아특수재활과,"정신건강간호사,간호사"
267,번역가,독어독문학과러시아어문학과러시아학과불어불문학과스페인어학과아프리카어과영어과영어영문학과영어학과일본어과일어일문학과중국어과중어중문학과,
1155,과수작물재배자,원예과식물자원학과원예학과농수산과,"시설원예기사,시설원예기술사,종자기술사,종자기사,종자산업기사,종자기능사"
139,통신케이블설치 및 수리원,전기과전기전자과전자과정보통신과,"정보통신산업기사,정보통신기사,정보통신기술사"
963,원예기술자,식물자원학과원예과원예학과,"시설원예기사,시설원예기술사"
10,방사선사,방사선과,방사선사
386,언어치료사,언어치료학과특수교육학과,언어재활사
10063,사설탐정,법학과경찰행정과경찰행정학과,
268,사서,문헌정보학과,사서
1156,조림 영림 및 벌목원,산림자원학과,"산림기사,산림기술사,산림산업기사,임업종묘기능사,임업종묘기사,종자기능사,종자기사,종자기술사,종자산업기사"
140,통신장비기사,스마트정보과정보통신공학과정보통신과컴퓨터공학과컴퓨터소프트웨어과컴퓨터응용기계과,"전기기능사,전기기능장,전기산업기사,전기기사,전자기사,통신기기기능사"
966,안무가,무용과무용학과,
13,생물학연구원,생물학과,
